model,transparency,flux_phi0,critical_current_normalized,critical_current_zero_field
AB,0.01,-10.0,6.123086346531973e-19,0.01570758450269403
AB,0.01,-9.97997997997998,3.1488928130435734e-05,0.01570758450269403
AB,0.01,-9.95995995995996,6.297967337321322e-05,0.01570758450269403
AB,0.01,-9.93993993993994,9.434771825822996e-05,0.01570758450269403
AB,0.01,-9.91991991991992,0.00012546852895753215,0.01570758450269403
AB,0.01,-9.8998998998999,0.00015621804563438523,0.01570758450269403
AB,0.01,-9.87987987987988,0.0001864731728842576,0.01570758450269403
AB,0.01,-9.85985985985986,0.00021611226834472995,0.01570758450269403
AB,0.01,-9.83983983983984,0.00024501562755090876,0.01570758450269403
AB,0.01,-9.81981981981982,0.0002730659631201048,0.01570758450269403
AB,0.01,-9.7997997997998,0.00030014887636417516,0.01570758450269403
AB,0.01,-9.77977977977978,0.0003261533194500784,0.01570758450269403
AB,0.01,-9.75975975975976,0.0003509720462587269,0.01570758450269403
AB,0.01,-9.73973973973974,0.0003745020501291742,0.01570758450269403
AB,0.01,-9.71971971971972,0.0003966449867192514,0.01570758450269403
AB,0.01,-9.6996996996997,0.00041730758026500706,0.01570758450269403
AB,0.01,-9.67967967967968,0.0004364020115794047,0.01570758450269403
AB,0.01,-9.65965965965966,0.00045384628619556767,0.01570758450269403
AB,0.01,-9.63963963963964,0.00046956458113113996,0.01570758450269403
AB,0.01,-9.61961961961962,0.00048348756882790107,0.01570758450269403
AB,0.01,-9.5995995995996,0.0004955527169042219,0.01570758450269403
AB,0.01,-9.57957957957958,0.000505704562447097,0.01570758450269403
AB,0.01,-9.55955955955956,0.0005138949596649417,0.01570758450269403
AB,0.01,-9.53953953953954,0.0005200832998217714,0.01570758450269403
AB,0.01,-9.51951951951952,0.0005242367024774226,0.01570758450269403
AB,0.01,-9.4994994994995,0.0005263301771667302,0.01570758450269403
AB,0.01,-9.47947947947948,0.0005263467547626669,0.01570758450269403
AB,0.01,-9.45945945945946,0.0005242775878839048,0.01570758450269403
AB,0.01,-9.43943943943944,0.0005201220198257064,0.01570758450269403
AB,0.01,-9.41941941941942,0.0005138876216139825,0.01570758450269403
AB,0.01,-9.3993993993994,0.0005055901969053466,0.01570758450269403
AB,0.01,-9.37937937937938,0.0004952537545805667,0.01570758450269403
AB,0.01,-9.35935935935936,0.00048291044900446856,0.01570758450269403
AB,0.01,-9.33933933933934,0.0004686004880516357,0.01570758450269403
AB,0.01,-9.31931931931932,0.00045237200912365125,0.01570758450269403
AB,0.01,-9.2992992992993,0.00043428092350966484,0.01570758450269403
AB,0.01,-9.27927927927928,0.0004143907295672409,0.01570758450269403
AB,0.01,-9.25925925925926,0.0003927722953243001,0.01570758450269403
AB,0.01,-9.23923923923924,0.00036950361122491967,0.01570758450269403
AB,0.01,-9.21921921921922,0.00034466951386147315,0.01570758450269403
AB,0.01,-9.1991991991992,0.0003183613816524526,0.01570758450269403
AB,0.01,-9.17917917917918,0.0002906768035389431,0.01570758450269403
AB,0.01,-9.15915915915916,0.00026171922188263417,0.01570758450269403
AB,0.01,-9.13913913913914,0.0002315975508539896,0.01570758450269403
AB,0.01,-9.11911911911912,0.00020042577170039988,0.01570758450269403
AB,0.01,-9.0990990990991,0.00016832250638025413,0.01570758450269403
AB,0.01,-9.07907907907908,0.0001354105711397009,0.01570758450269403
AB,0.01,-9.05905905905906,0.00010181651169384713,0.01570758450269403
AB,0.01,-9.03903903903904,6.767012175304366e-05,0.01570758450269403
AB,0.01,-9.01901901901902,3.3103946707330515e-05,0.01570758450269403
AB,0.01,-8.998998998999,1.7472256521702033e-06,0.01570758450269403
AB,0.01,-8.97897897897898,3.674688543756099e-05,0.01570758450269403
AB,0.01,-8.95895895895896,7.17573300054248e-05,0.01570758450269403
AB,0.01,-8.93893893893894,0.00010664020030251998,0.01570758450269403
AB,0.01,-8.91891891891892,0.00014125702214732121,0.01570758450269403
AB,0.01,-8.8988988988989,0.00017546975035066616,0.01570758450269403
AB,0.01,-8.87887887887888,0.00020914131355860915,0.01570758450269403
AB,0.01,-8.85885885885886,0.00024213615768869516,0.01570758450269403
AB,0.01,-8.83883883883884,0.00027432078582707826,0.01570758450269403
AB,0.01,-8.81881881881882,0.00030556429245851935,0.01570758450269403
AB,0.01,-8.7987987987988,0.00033573888991415764,0.01570758450269403
AB,0.01,-8.77877877877878,0.00036472042494311414,0.01570758450269403
AB,0.01,-8.75875875875876,0.0003923888833434003,0.01570758450269403
AB,0.01,-8.73873873873874,0.00041862888062514273,0.01570758450269403
AB,0.01,-8.71871871871872,0.00044333013672480685,0.01570758450269403
AB,0.01,-8.6986986986987,0.00046638793284257566,0.01570758450269403
AB,0.01,-8.67867867867868,0.00048770354853633726,0.01570758450269403
AB,0.01,-8.65865865865866,0.0005071846772745072,0.01570758450269403
AB,0.01,-8.63863863863864,0.0005247458187260125,0.01570758450269403
AB,0.01,-8.618618618618619,0.0005403086461488496,0.01570758450269403
AB,0.01,-8.598598598598599,0.0005538023473285221,0.01570758450269403
AB,0.01,-8.578578578578579,0.0005651639376138904,0.01570758450269403
AB,0.01,-8.558558558558559,0.0005743385437003313,0.01570758450269403
AB,0.01,-8.538538538538539,0.0005812796569181346,0.01570758450269403
AB,0.01,-8.518518518518519,0.000585949354897412,0.01570758450269403
AB,0.01,-8.498498498498499,0.000588318490599026,0.01570758450269403
AB,0.01,-8.478478478478479,0.0005883668478237285,0.01570758450269403
AB,0.01,-8.458458458458459,0.0005860832624383835,0.01570758450269403
AB,0.01,-8.438438438438439,0.0005814657086883419,0.01570758450269403
AB,0.01,-8.418418418418419,0.0005745213500982699,0.01570758450269403
AB,0.01,-8.398398398398399,0.0005652665545994867,0.01570758450269403
AB,0.01,-8.378378378378379,0.000553726873659638,0.01570758450269403
