y_field,Ic
0.000735,6.9e-06
0.0007352,6.5e-06
0.0007354,6.9e-06
0.0007356,7.3e-06
0.0007358,7.7e-06
0.000736,7.6e-06
0.0007362,7.9e-06
0.0007364,7.9e-06
0.0007366,8e-06
0.0007368,7.6e-06
0.000737,7.6e-06
0.0007372,7.5e-06
0.0007374,7.5e-06
0.0007376,7.3e-06
0.0007378,6.1e-06
0.000738,6.7e-06
0.0007382,6.2e-06
0.0007384,5.5e-06
0.0007386,5.6e-06
0.0007388,4.4e-06
0.000739,4.6e-06
0.0007392,4e-06
0.0007394,4.4e-06
0.0007396,3.1e-06
0.0007398,3.1e-06
0.00074,3.2e-06
0.0007402,3.4e-06
0.0007404,3.8e-06
0.0007406,3.9e-06
0.0007408,4e-06
0.000741,4e-06
0.0007412,4.3e-06
0.0007414,5.1e-06
0.0007416,4.8e-06
0.0007418,5e-06
0.000742,5.5e-06
0.0007422,5.8e-06
0.0007424,6.4e-06
0.0007426,6.1e-06
0.0007428,6.1e-06
0.000743,6.4e-06
0.0007432,6.7e-06
0.0007434,6.8e-06
0.0007436,7.1e-06
0.0007438,7.5e-06
0.000744,7.5e-06
0.0007442,7.7e-06
0.0007444,7.7e-06
0.0007446,7.7e-06
0.0007448,7.5e-06
0.000745,7.5e-06
0.0007452,7.2e-06
0.0007454,6.8e-06
0.0007456,6.8e-06
0.0007458,5.8e-06
0.000746,5.3e-06
0.0007462,5.4e-06
0.0007464,5.1e-06
0.0007466,4.7e-06
0.0007468,3.8e-06
0.000747,4.7e-06
0.0007472,4.1e-06
0.0007474,3.4e-06
0.0007476,3.2e-06
0.0007478,3.1e-06
0.000748,3.1e-06
0.0007482,3.5e-06
0.0007484,3.5e-06
0.0007486,3.8e-06
0.0007488,3.5e-06
0.000749,3.8e-06
0.0007492,4.5e-06
0.0007494,4.7e-06
0.0007496,5.1e-06
0.0007498,5.7e-06
0.00075,5.6e-06
0.0007502,5.9e-06
0.0007504,5.9e-06
0.0007506,5.9e-06
0.0007508,6.4e-06
0.000751,6.8e-06
0.0007512,7.1e-06
0.0007514,7.4e-06
0.0007516,7.4e-06
0.0007518,7.5e-06
0.000752,7.6e-06
0.0007522,7.7e-06
0.0007524,7.5e-06
0.0007526,7.6e-06
0.0007528,7.4e-06
0.000753,7.4e-06
0.0007532,7e-06
0.0007534,6.2e-06
0.0007536,6.3e-06
0.0007538,6.4e-06
0.000754,5.8e-06
0.0007542,5.2e-06
0.0007544,5e-06
0.0007546,4.3e-06
0.0007548,4.2e-06
0.000755,3.2e-06
0.0007552,3.2e-06
0.0007554,3.1e-06
0.0007556,3.1e-06
0.0007558,3.2e-06
0.000756,3.2e-06
0.0007562,3.2e-06
0.0007564,3.3e-06
0.0007566,4.3e-06
0.0007568,4.2e-06
0.000757,4.7e-06
0.0007572,4.5e-06
0.0007574,4.8e-06
0.0007576,5.1e-06
0.0007578,5.2e-06
0.000758,5.6e-06
0.0007582,5.8e-06
0.0007584,5.8e-06
0.0007586,6.4e-06
0.0007588,6.7e-06
0.000759,6.4e-06
0.0007592,7.1e-06
0.0007594,7.3e-06
0.0007596,7.4e-06
0.0007598,7.2e-06
0.00076,7.4e-06
0.0007602,7.7e-06
0.0007604,7.6e-06
0.0007606,7.6e-06
0.0007608,7.1e-06
0.000761,7.6e-06
0.0007612,6.7e-06
0.0007614,6.2e-06
0.0007616,6.6e-06
0.0007618,6.2e-06
0.000762,5.7e-06
0.0007622,4.8e-06
0.0007624,5e-06
0.0007626,3.8e-06
0.0007628,3.1e-06
0.000763,3.4e-06
0.0007632,3.1e-06
0.0007634,3.1e-06
0.0007636,3.1e-06
0.0007638,3.1e-06
0.000764,3.3e-06
0.0007642,3.4e-06
0.0007644,4e-06
0.0007646,4.1e-06
0.0007648,3.7e-06
0.000765,4.8e-06
