y_field,Ic
0.00285,1.44e-06
0.0028502,1.5e-06
0.0028504,1.5e-06
0.0028506,1.56e-06
0.0028508,1.56e-06
0.002851,1.62e-06
0.0028512,1.62e-06
0.0028514,1.62e-06
0.0028516,1.62e-06
0.0028518,1.62e-06
0.002852,1.62e-06
0.0028522,1.56e-06
0.0028524,1.56e-06
0.0028526,1.44e-06
0.0028528,1.5e-06
0.002853,1.38e-06
0.0028532,1.32e-06
0.0028534,1.2e-06
0.0028536,1.02e-06
0.0028538,1.14e-06
0.002854,1.08e-06
0.0028542,9.6e-07
0.0028544,9.6e-07
0.0028546,9e-07
0.0028548,9e-07
0.002855,9e-07
0.0028552,9e-07
0.0028554,9e-07
0.0028556,9e-07
0.0028558,9e-07
0.002856,9e-07
0.0028562,9e-07
0.0028564,9e-07
0.0028566,9e-07
0.0028568,9.6e-07
0.002857,1.02e-06
0.0028572,1.02e-06
0.0028574,1.14e-06
0.0028576,1.2e-06
0.0028578,1.2e-06
0.002858,1.32e-06
0.0028582,1.38e-06
0.0028584,1.32e-06
0.0028586,1.44e-06
0.0028588,1.44e-06
0.002859,1.44e-06
0.0028592,1.56e-06
0.0028594,1.62e-06
0.0028596,1.56e-06
0.0028598,1.62e-06
0.00286,1.68e-06
0.0028602,1.68e-06
0.0028604,1.68e-06
0.0028606,1.62e-06
0.0028608,1.62e-06
0.002861,1.62e-06
0.0028612,1.62e-06
0.0028614,1.62e-06
0.0028616,1.56e-06
0.0028618,1.5e-06
0.002862,1.44e-06
0.0028622,1.32e-06
0.0028624,1.38e-06
0.0028626,1.2e-06
0.0028628,1.14e-06
0.002863,1.14e-06
0.0028632,9.6e-07
0.0028634,9e-07
0.0028636,9e-07
0.0028638,9e-07
0.002864,9e-07
0.0028642,9e-07
0.0028644,9e-07
0.0028646,9e-07
0.0028648,9e-07
0.002865,9e-07
0.0028652,9e-07
0.0028654,9e-07
0.0028656,9.6e-07
0.0028658,9e-07
0.002866,9.6e-07
0.0028662,9.6e-07
0.0028664,1.02e-06
0.0028666,1.14e-06
0.0028668,1.14e-06
0.002867,1.2e-06
0.0028672,1.2e-06
0.0028674,1.32e-06
0.0028676,1.32e-06
0.0028678,1.38e-06
0.002868,1.5e-06
0.0028682,1.56e-06
0.0028684,1.56e-06
0.0028686,1.56e-06
0.0028688,1.62e-06
0.002869,1.68e-06
0.0028692,1.62e-06
0.0028694,1.68e-06
0.0028696,1.68e-06
0.0028698,1.68e-06
0.00287,1.68e-06
0.0028702,1.68e-06
0.0028704,1.68e-06
0.0028706,1.56e-06
0.0028708,1.5e-06
0.002871,1.56e-06
0.0028712,1.44e-06
0.0028714,1.38e-06
0.0028716,1.32e-06
0.0028718,1.26e-06
0.002872,1.2e-06
0.0028722,1.14e-06
0.0028724,1.02e-06
0.0028726,9e-07
0.0028728,9e-07
0.002873,9.6e-07
0.0028732,9e-07
0.0028734,9e-07
0.0028736,9e-07
0.0028738,9e-07
0.002874,9e-07
0.0028742,9e-07
0.0028744,9.6e-07
0.0028746,9.6e-07
0.0028748,9.6e-07
0.002875,1.02e-06
0.0028752,1.02e-06
0.0028754,1.02e-06
0.0028756,1.08e-06
0.0028758,1.08e-06
0.002876,1.2e-06
0.0028762,1.26e-06
0.0028764,1.32e-06
0.0028766,1.38e-06
0.0028768,1.44e-06
0.002877,1.5e-06
0.0028772,1.44e-06
0.0028774,1.62e-06
0.0028776,1.62e-06
0.0028778,1.62e-06
0.002878,1.62e-06
0.0028782,1.68e-06
0.0028784,1.68e-06
0.0028786,1.74e-06
0.0028788,1.68e-06
0.002879,1.68e-06
0.0028792,1.68e-06
0.0028794,1.68e-06
0.0028796,1.62e-06
0.0028798,1.62e-06
0.00288,1.56e-06
0.0028802,1.44e-06
0.0028804,1.5e-06
0.0028806,1.38e-06
0.0028808,1.32e-06
0.002881,1.38e-06
0.0028812,1.2e-06
0.0028814,9.6e-07
0.0028816,9.6e-07
0.0028818,9e-07
0.002882,9e-07
0.0028822,9e-07
0.0028824,9e-07
0.0028826,9e-07
0.0028828,9e-07
0.002883,9e-07
0.0028832,9e-07
0.0028834,9e-07
0.0028836,9e-07
0.0028838,9.6e-07
0.002884,9.6e-07
0.0028842,9.6e-07
0.0028844,1.02e-06
0.0028846,1.08e-06
0.0028848,1.08e-06
0.002885,1.08e-06
0.0028852,1.26e-06
0.0028854,1.2e-06
0.0028856,1.32e-06
0.0028858,1.56e-06
0.002886,1.44e-06
0.0028862,1.5e-06
0.0028864,1.5e-06
0.0028866,1.56e-06
0.0028868,1.62e-06
0.002887,1.68e-06
0.0028872,1.68e-06
0.0028874,1.74e-06
0.0028876,1.74e-06
0.0028878,1.68e-06
0.002888,1.74e-06
0.0028882,1.74e-06
0.0028884,1.74e-06
0.0028886,1.74e-06
0.0028888,1.68e-06
0.002889,1.56e-06
0.0028892,1.56e-06
0.0028894,1.5e-06
0.0028896,1.5e-06
0.0028898,1.56e-06
0.00289,1.32e-06
0.0028902,1.32e-06
0.0028904,1.2e-06
0.0028906,1.14e-06
0.0028908,1.2e-06
0.002891,1.14e-06
0.0028912,9.6e-07
0.0028914,9.6e-07
0.0028916,9e-07
0.0028918,9e-07
0.002892,9e-07
0.0028922,9e-07
0.0028924,9.6e-07
0.0028926,9.6e-07
0.0028928,9.6e-07
0.002893,9.6e-07
0.0028932,9.6e-07
0.0028934,9.6e-07
0.0028936,9.6e-07
0.0028938,9.6e-07
0.002894,1.02e-06
0.0028942,1.08e-06
0.0028944,1.08e-06
0.0028946,1.2e-06
0.0028948,1.32e-06
0.002895,1.2e-06
0.0028952,1.38e-06
0.0028954,1.38e-06
0.0028956,1.56e-06
0.0028958,1.44e-06
0.002896,1.56e-06
0.0028962,1.68e-06
0.0028964,1.68e-06
0.0028966,1.68e-06
0.0028968,1.74e-06
0.002897,1.74e-06
0.0028972,1.74e-06
0.0028974,1.74e-06
0.0028976,1.74e-06
0.0028978,1.74e-06
0.002898,1.74e-06
0.0028982,1.62e-06
0.0028984,1.62e-06
0.0028986,1.44e-06
0.0028988,1.5e-06
0.002899,1.44e-06
0.0028992,1.5e-06
0.0028994,1.38e-06
0.0028996,1.26e-06
0.0028998,1.26e-06
0.0029,1.2e-06
0.0029002,1.08e-06
0.0029004,1.02e-06
0.0029006,9e-07
0.0029008,9e-07
0.002901,9e-07
0.0029012,9.6e-07
0.0029014,9.6e-07
0.0029016,9.6e-07
0.0029018,9.6e-07
0.002902,9.6e-07
0.0029022,9.6e-07
0.0029024,9.6e-07
0.0029026,1.02e-06
0.0029028,1.02e-06
0.002903,1.02e-06
0.0029032,1.02e-06
0.0029034,1.02e-06
0.0029036,1.14e-06
0.0029038,1.08e-06
0.002904,1.2e-06
0.0029042,1.2e-06
0.0029044,1.38e-06
0.0029046,1.26e-06
0.0029048,1.5e-06
0.002905,1.44e-06
0.0029052,1.5e-06
0.0029054,1.56e-06
0.0029056,1.68e-06
0.0029058,1.62e-06
0.002906,1.62e-06
0.0029062,1.74e-06
0.0029064,1.74e-06
0.0029066,1.74e-06
0.0029068,1.74e-06
0.002907,1.74e-06
0.0029072,1.74e-06
0.0029074,1.74e-06
0.0029076,1.68e-06
0.0029078,1.68e-06
0.002908,1.56e-06
0.0029082,1.62e-06
0.0029084,1.38e-06
0.0029086,1.5e-06
0.0029088,1.26e-06
0.002909,1.32e-06
0.0029092,1.14e-06
0.0029094,1.26e-06
0.0029096,1.2e-06
0.0029098,9.6e-07
0.00291,1.02e-06
0.0029102,9.6e-07
0.0029104,9e-07
0.0029106,9e-07
0.0029108,9.6e-07
0.002911,9.6e-07
0.0029112,9.6e-07
0.0029114,9.6e-07
0.0029116,9.6e-07
0.0029118,9.6e-07
0.002912,9.6e-07
0.0029122,9.6e-07
0.0029124,1.02e-06
0.0029126,1.02e-06
0.0029128,1.02e-06
0.002913,1.08e-06
0.0029132,1.14e-06
0.0029134,1.26e-06
0.0029136,1.32e-06
0.0029138,1.32e-06
0.002914,1.44e-06
0.0029142,1.38e-06
0.0029144,1.56e-06
0.0029146,1.38e-06
0.0029148,1.38e-06
0.002915,1.44e-06
0.0029152,1.56e-06
0.0029154,1.56e-06
0.0029156,1.56e-06
0.0029158,1.62e-06
0.002916,1.68e-06
0.0029162,1.74e-06
0.0029164,1.74e-06
0.0029166,1.74e-06
0.0029168,1.8e-06
0.002917,1.8e-06
0.0029172,1.74e-06
0.0029174,1.8e-06
0.0029176,1.74e-06
0.0029178,1.68e-06
0.002918,1.68e-06
0.0029182,1.68e-06
0.0029184,1.68e-06
0.0029186,1.5e-06
0.0029188,1.44e-06
0.002919,1.26e-06
0.0029192,1.38e-06
0.0029194,1.32e-06
0.0029196,1.2e-06
0.0029198,1.2e-06
0.00292,1.02e-06
0.0029202,9.6e-07
0.0029204,1.02e-06
0.0029206,9.6e-07
0.0029208,9.6e-07
0.002921,9.6e-07
0.0029212,9.6e-07
0.0029214,9.6e-07
0.0029216,9.6e-07
0.0029218,9.6e-07
0.002922,9.6e-07
0.0029222,9.6e-07
0.0029224,9.6e-07
0.0029226,1.02e-06
0.0029228,1.02e-06
0.002923,1.08e-06
0.0029232,1.02e-06
0.0029234,1.08e-06
0.0029236,1.2e-06
0.0029238,1.32e-06
0.002924,1.32e-06
0.0029242,1.38e-06
0.0029244,1.56e-06
0.0029246,1.44e-06
0.0029248,1.44e-06
0.002925,1.56e-06
0.0029252,1.62e-06
0.0029254,1.68e-06
0.0029256,1.68e-06
0.0029258,1.74e-06
0.002926,1.8e-06
0.0029262,1.8e-06
0.0029264,1.8e-06
0.0029266,1.8e-06
0.0029268,1.8e-06
0.002927,1.74e-06
0.0029272,1.56e-06
0.0029274,1.56e-06
0.0029276,1.56e-06
0.0029278,1.5e-06
0.002928,1.44e-06
0.0029282,1.38e-06
0.0029284,1.38e-06
0.0029286,1.38e-06
0.0029288,1.26e-06
0.002929,1.14e-06
0.0029292,1.08e-06
0.0029294,9.6e-07
0.0029296,1.02e-06
0.0029298,1.02e-06
0.00293,9e-07
0.0029302,9.6e-07
0.0029304,9.6e-07
0.0029306,9.6e-07
0.0029308,9.6e-07
0.002931,9.6e-07
0.0029312,9.6e-07
0.0029314,9.6e-07
0.0029316,9.6e-07
0.0029318,9.6e-07
0.002932,1.02e-06
0.0029322,1.08e-06
0.0029324,1.02e-06
0.0029326,1.2e-06
0.0029328,1.14e-06
0.002933,1.26e-06
0.0029332,1.38e-06
0.0029334,1.26e-06
0.0029336,1.32e-06
0.0029338,1.5e-06
0.002934,1.56e-06
0.0029342,1.5e-06
0.0029344,1.62e-06
0.0029346,1.68e-06
0.0029348,1.8e-06
0.002935,1.74e-06
0.0029352,1.74e-06
0.0029354,1.74e-06
0.0029356,1.8e-06
0.0029358,1.8e-06
0.002936,1.8e-06
0.0029362,1.8e-06
0.0029364,1.8e-06
0.0029366,1.62e-06
0.0029368,1.68e-06
0.002937,1.62e-06
0.0029372,1.5e-06
0.0029374,1.62e-06
0.0029376,1.5e-06
0.0029378,1.44e-06
0.002938,1.44e-06
0.0029382,1.32e-06
0.0029384,1.5e-06
0.0029386,1.14e-06
0.0029388,1.02e-06
0.002939,1.08e-06
0.0029392,9.6e-07
0.0029394,9e-07
0.0029396,9.6e-07
0.0029398,9e-07
0.00294,9e-07
0.0029402,9.6e-07
0.0029404,9.6e-07
0.0029406,9.6e-07
0.0029408,9.6e-07
0.002941,9.6e-07
0.0029412,9.6e-07
0.0029414,9.6e-07
0.0029416,1.02e-06
0.0029418,1.02e-06
0.002942,1.08e-06
0.0029422,1.26e-06
0.0029424,1.2e-06
0.0029426,1.2e-06
0.0029428,1.08e-06
0.002943,1.32e-06
0.0029432,1.44e-06
0.0029434,1.44e-06
0.0029436,1.32e-06
0.0029438,1.32e-06
0.002944,1.38e-06
0.0029442,1.38e-06
0.0029444,1.5e-06
0.0029446,1.56e-06
0.0029448,1.5e-06
0.002945,1.56e-06
0.0029452,1.62e-06
0.0029454,1.68e-06
0.0029456,1.68e-06
0.0029458,1.74e-06
0.002946,1.8e-06
0.0029462,1.8e-06
0.0029464,1.8e-06
0.0029466,1.8e-06
0.0029468,1.8e-06
0.002947,1.8e-06
0.0029472,1.74e-06
0.0029474,1.62e-06
0.0029476,1.68e-06
0.0029478,1.62e-06
0.002948,1.44e-06
0.0029482,1.5e-06
0.0029484,1.26e-06
0.0029486,1.26e-06
0.0029488,1.2e-06
0.002949,1.2e-06
0.0029492,1.08e-06
0.0029494,1.08e-06
0.0029496,9.6e-07
0.0029498,9.6e-07
0.00295,9e-07
