y_field,Ic
0.00285,7.705704507724289e-07
0.0028502,1.7582058134825246e-06
0.0028504,2.0820616972543723e-06
0.0028506,1.14717695199894e-06
0.0028508,1.8315585969254192e-06
0.002851,7.245656160857426e-07
0.0028512,-6.190723805834529e-07
0.0028514,-3.2208922926713244e-07
0.0028516,2.7601984607102704e-06
0.0028518,8.619010785924424e-07
0.002852,1.3728118931925959e-06
0.0028522,1.7717669820764075e-06
0.0028524,9.87726998007404e-07
0.0028526,1.711401988002527e-06
0.0028528,-3.7730540475603756e-07
0.002853,1.0621750800349327e-06
0.0028532,8.240681666576451e-08
0.0028534,2.390400881909352e-06
0.0028536,3.4445026401691026e-06
0.0028538,8.292098602266881e-07
0.002854,1.5180904754623641e-06
0.0028542,8.812504775176949e-07
0.0028544,-6.974970517295129e-07
0.0028546,8.485583964750716e-08
0.0028548,2.739506942319719e-06
0.002855,3.3847076440935507e-06
0.0028552,2.665497665130455e-06
0.0028554,1.3366429184364239e-06
0.0028556,-3.807653383551147e-07
0.0028558,-7.156613919909019e-08
0.002856,1.4214964515867947e-07
0.0028562,1.2925854343320615e-07
0.0028564,2.0472263869033025e-06
0.0028566,1.6668241128969961e-06
0.0028568,2.647464060386071e-06
0.002857,1.1185208323187147e-06
0.0028572,7.00485444369574e-07
0.0028574,-6.99614572258118e-08
0.0028576,4.094143112103207e-07
0.0028578,1.5795450719640228e-06
0.002858,2.60313151620616e-07
0.0028582,8.152452471586194e-07
0.0028584,1.4512038980849984e-06
0.0028586,1.304913534055153e-06
0.0028588,1.1281588094839087e-06
0.002859,-1.059587972948707e-06
0.0028592,9.707013189231596e-07
0.0028594,1.9489108178974753e-06
0.0028596,2.2648526336430582e-06
0.0028598,2.7316233907427405e-06
0.00286,1.5073352434580803e-06
0.0028602,2.582407905552346e-06
0.0028604,-7.904079092471158e-07
0.0028606,-6.857427537079106e-07
0.0028608,1.9761791475191555e-06
0.002861,2.1828989364765876e-06
0.0028612,2.2714829765446314e-06
0.0028614,1.996037803800801e-06
0.0028616,1.8313864651313012e-06
0.0028618,1.2280623721423348e-06
0.002862,3.9444801384300296e-07
0.0028622,2.2370860819899168e-06
0.0028624,1.3053182409564445e-06
0.0028626,3.371553187706069e-07
0.0028628,2.0199604202892754e-06
0.002863,4.773793017601636e-07
0.0028632,1.8240893879547999e-06
0.0028634,6.910090388193079e-07
0.0028636,8.441562056955389e-07
0.0028638,-4.580810273736902e-07
0.002864,4.147835874954918e-06
0.0028642,1.5455604246724938e-06
0.0028644,2.1577610461884558e-06
0.0028646,2.249197285349057e-06
0.0028648,9.649454058497618e-07
0.002865,2.780045754666774e-07
0.0028652,9.068651418652954e-07
0.0028654,1.203313021607999e-06
0.0028656,2.020756038528994e-06
0.0028658,2.966738880231556e-06
0.002866,1.6641301538933736e-06
0.0028662,2.6181520495812228e-06
0.0028664,8.242711269862138e-08
0.0028666,2.793868302809459e-07
0.0028668,1.9903372327019404e-07
0.002867,1.6144691633156005e-06
0.0028672,2.3581455721032877e-06
0.0028674,1.453114415500535e-06
0.0028676,2.4694315978772337e-06
0.0028678,1.6753803511677103e-06
0.002868,5.168443521621938e-07
0.0028682,-8.085869281396018e-07
0.0028684,1.2201017057875832e-06
0.0028686,2.564562364187511e-06
0.0028688,2.1234075622853137e-06
0.002869,1.2781486621500923e-06
0.0028692,1.456237898060354e-06
0.0028694,1.073462582285855e-06
0.0028696,2.712800013803928e-07
0.0028698,1.4479185153407027e-07
0.00287,-1.7371070967147914e-07
0.0028702,1.7891943466820366e-06
0.0028704,2.8999776384303115e-06
0.0028706,3.789363281609965e-06
0.0028708,1.7955099872460092e-06
0.002871,1.0410085255358785e-06
0.0028712,2.22228983398673e-07
0.0028714,1.2447907490237406e-06
0.0028716,4.480015130128394e-07
0.0028718,1.8945308270119425e-06
0.002872,9.479997648403345e-07
0.0028722,1.484442554059066e-06
0.0028724,1.6890629383234028e-06
0.0028726,6.894457794188773e-07
0.0028728,2.2153822322319514e-06
0.002873,6.063656661212907e-07
0.0028732,1.1725711444514166e-06
0.0028734,2.0335172724638857e-06
0.0028736,2.9989011467450696e-06
0.0028738,1.7404534388809752e-06
0.002874,2.370820911618593e-06
0.0028742,8.170088246068614e-07
0.0028744,1.707994348889846e-06
0.0028746,1.2532610564053386e-06
0.0028748,3.2868274275768117e-06
0.002875,1.3286202980594948e-06
0.0028752,2.8360608225005476e-06
0.0028754,8.686904327902752e-07
0.0028756,4.299557888999231e-07
0.0028758,1.1901557577440369e-06
0.002876,5.463643354662738e-07
0.0028762,7.266742208795835e-07
0.0028764,3.3247919740768808e-06
0.0028766,2.8368221388826546e-06
0.0028768,4.895053916040841e-07
0.002877,7.756537552190267e-07
0.0028772,1.1864659461127942e-06
0.0028774,1.6334428324052697e-07
0.0028776,2.078503878828423e-06
0.0028778,2.100147684098403e-06
0.002878,2.4118760701020577e-06
0.0028782,1.5493669176185775e-06
0.0028784,6.328843251747799e-07
0.0028786,1.7023789525803786e-06
0.0028788,1.0184082557057509e-06
0.002879,-4.2158311239682854e-07
0.0028792,1.8593051969536332e-06
0.0028794,5.867499530273745e-07
0.0028796,1.2287282806466155e-06
0.0028798,1.3664534077716703e-06
0.00288,1.333924607746727e-06
0.0028802,1.4640824129759304e-06
0.0028804,-2.944220778987382e-07
0.0028806,3.9092631019990515e-07
0.0028808,1.2148747631548042e-06
0.002881,2.431104592414293e-06
0.0028812,6.104498901584956e-07
0.0028814,1.1161266421682899e-06
0.0028816,1.2505139245060715e-06
0.0028818,1.5797205822750284e-06
0.002882,-5.0825481733298344e-08
0.0028822,6.064537461968287e-07
0.0028824,1.7549939976868034e-06
0.0028826,1.6475986355310769e-06
0.0028828,1.9814720126035666e-06
0.002883,1.8476748261595097e-06
0.0028832,2.2018482485910244e-06
0.0028834,-4.394826499295605e-08
0.0028836,3.9875082759788787e-07
0.0028838,1.2991594102829803e-06
0.002884,1.8390577386911612e-06
0.0028842,2.4142671490323017e-06
0.0028844,1.7836598186620118e-06
0.0028846,2.5186668986092468e-06
0.0028848,4.1390774131140244e-07
0.002885,-2.9714062306735972e-08
0.0028852,6.664481084241711e-07
0.0028854,1.0459556558023793e-06
0.0028856,1.238485635001028e-06
0.0028858,2.2704068609258424e-06
0.002886,1.9004655169844284e-06
0.0028862,2.773350128708342e-06
0.0028864,1.6970231021157523e-08
0.0028866,-1.331357056897734e-07
0.0028868,-6.591058946506278e-07
0.002887,1.2090509028124795e-06
0.0028872,1.826038896530036e-06
0.0028874,9.018614301618371e-07
0.0028876,2.3665073979152332e-06
0.0028878,5.066998116803988e-07
0.002888,1.512812693259487e-06
0.0028882,-1.1486306698448223e-06
0.0028884,8.019726399737928e-07
0.0028886,5.10140670409037e-07
0.0028888,1.408446919832347e-06
0.002889,2.8907089158545893e-06
0.0028892,2.2529687984610256e-06
0.0028894,1.4311848020583365e-06
0.0028896,7.556804608242241e-07
0.0028898,-6.492984880901908e-08
0.00289,1.6514821861992579e-06
0.0028902,1.3481190204791274e-06
0.0028904,1.1664560746404159e-06
0.0028906,2.2038166508055804e-06
0.0028908,1.3697249013703927e-06
0.002891,1.420706724472641e-06
0.0028912,7.312412986719569e-07
0.0028914,-2.9823150644765956e-09
0.0028916,1.8812252173772352e-06
0.0028918,1.0205604047750622e-06
0.002892,2.340596292361357e-06
0.0028922,1.1582857014377042e-06
0.0028924,2.124702617509503e-06
0.0028926,1.949968514645287e-06
0.0028928,7.220337264851045e-07
0.002893,2.0979519508536445e-06
0.0028932,4.3738641879433194e-07
0.0028934,1.8509227123304974e-06
0.0028936,3.2131707257992438e-06
0.0028938,2.1110090754632595e-06
0.002894,1.3800368310882475e-06
0.0028942,-4.188730759997352e-07
0.0028944,-4.403122975116641e-08
0.0028946,1.457607649297795e-07
0.0028948,2.246357927170404e-06
0.002895,2.3307670804856144e-06
0.0028952,3.527515924382116e-06
0.0028954,3.615131538479374e-07
0.0028956,1.5236675122963192e-06
0.0028958,2.9607034526107065e-07
0.002896,6.590554606007514e-07
0.0028962,1.1017687481243473e-06
0.0028964,1.2810916320435572e-06
0.0028966,1.4890232021187533e-06
0.0028968,2.9709919846971786e-06
0.002897,8.38529347304544e-07
0.0028972,8.502987463296222e-07
0.0028974,1.2098285697919119e-06
0.0028976,1.6816594892244767e-06
0.0028978,3.4502711326107367e-06
0.002898,1.2899346433559907e-06
0.0028982,2.1874919077245878e-06
0.0028984,-3.445984915560172e-07
0.0028986,2.299354661569052e-06
0.0028988,8.631428207422291e-08
0.002899,2.238397423564964e-07
0.0028992,1.4444978923757653e-06
0.0028994,3.311313886990867e-06
0.0028996,8.652841543852335e-07
0.0028998,2.333100703942912e-06
0.0029,2.8696368619188908e-06
0.0029002,2.208714247965578e-06
0.0029004,1.836670454712422e-06
0.0029006,-1.2830623237443688e-06
0.0029008,7.476121280904348e-07
0.002901,3.444409794898554e-06
0.0029012,2.1243912277977187e-06
0.0029014,2.7103706612208144e-06
0.0029016,1.4293438177613382e-06
0.0029018,1.020377734914922e-06
0.002902,3.7050193585302705e-07
0.0029022,7.912873981031316e-07
0.0029024,1.4951269885161335e-06
0.0029026,2.891063500739958e-06
0.0029028,1.9673640478185783e-06
0.002903,3.235229272842228e-06
0.0029032,1.3808341807185868e-06
0.0029034,7.08278941650519e-07
0.0029036,-3.339584454188083e-07
0.0029038,2.431256709129264e-07
0.002904,1.7909550567414703e-06
0.0029042,2.3693334444187207e-06
0.0029044,3.0142733042525863e-06
0.0029046,2.5392142557665105e-06
0.0029048,1.0570266987495317e-06
0.002905,-3.808710550099284e-07
0.0029052,6.705081316489426e-07
0.0029054,2.0334152083945416e-06
0.0029056,7.913213591533598e-07
0.0029058,2.199608705565e-06
0.002906,3.4584182895387675e-06
0.0029062,1.2256366296116e-06
0.0029064,1.3293765899447645e-08
0.0029066,-4.377473810877598e-07
0.0029068,1.83837779514565e-06
0.002907,1.9396842438687826e-06
0.0029072,3.2150727896501607e-06
0.0029074,1.2321221555679648e-06
0.0029076,1.3856152658407085e-06
0.0029078,3.3889594554312275e-06
0.002908,1.7066838608786798e-06
0.0029082,-9.188176010523735e-07
0.0029084,9.83148145100386e-07
0.0029086,3.552205287204877e-06
0.0029088,2.496477227805508e-06
0.002909,1.6331137755005602e-06
0.0029092,3.1147883150426166e-06
0.0029094,6.96801529344677e-07
0.0029096,-1.8867425873013218e-07
0.0029098,1.815656695924734e-07
0.00291,1.6520350240556018e-06
0.0029102,1.6826074547114182e-06
0.0029104,1.8082251401918873e-06
0.0029106,2.260869577581548e-06
0.0029108,9.263099503200817e-07
0.002911,1.2765946723788867e-06
0.0029112,-1.0608933966037963e-06
0.0029114,-1.7790325021633958e-07
0.0029116,1.885886173151482e-06
0.0029118,1.2943864741474834e-06
0.002912,2.35872454315757e-06
0.0029122,9.693672561002442e-07
0.0029124,4.718428043805771e-07
0.0029126,2.7322930450667912e-06
0.0029128,7.120826296243324e-07
0.002913,1.1679951688456677e-06
0.0029132,6.218382887897253e-07
0.0029134,7.869967238624277e-07
0.0029136,2.0594608373193014e-06
0.0029138,1.9555210116590232e-06
0.002914,1.9683196163805815e-06
0.0029142,1.2098218477041046e-06
0.0029144,1.2591428548159851e-06
0.0029146,1.1643050073244827e-06
0.0029148,2.1682349149548654e-06
0.002915,9.941349876128117e-07
0.0029152,2.3934613359031346e-06
0.0029154,2.4217640035609724e-06
0.0029156,8.029334013593098e-07
0.0029158,1.1138066318911133e-07
0.002916,1.0153856070688261e-06
0.0029162,1.9389092572244813e-06
0.0029164,2.0802278842677725e-06
0.0029166,2.2791119548066764e-06
0.0029168,2.9998312457470087e-06
0.002917,1.5075438318084782e-06
0.0029172,1.083940788711602e-06
0.0029174,-2.27180865082769e-06
0.0029176,5.363315839213314e-07
0.0029178,1.2328715249341015e-06
0.002918,2.2090022465801136e-06
0.0029182,2.4828629205238777e-06
0.0029184,1.476841729726111e-06
0.0029186,3.3417973094847623e-06
0.0029188,8.061013916155831e-07
0.002919,-1.1007797538926563e-06
0.0029192,1.6417628910151418e-06
0.0029194,1.0609546438268647e-06
0.0029196,3.6696501214819584e-06
0.0029198,1.812170674891442e-06
0.00292,2.793746269985801e-06
0.0029202,-6.715457119838128e-08
0.0029204,6.57346187939844e-08
