y_field,Ic
0.00285,1.2014611882010573e-06
0.0028502,6.494006192886514e-07
0.0028504,1.73670688963513e-06
0.0028506,7.268352545488715e-07
0.0028508,1.0977950357878598e-06
0.002851,3.881753223942373e-07
0.0028512,-1.2107413149672756e-07
0.0028514,1.4343161730089037e-06
0.0028516,8.014947681540912e-07
0.0028518,1.533927618202145e-06
0.002852,2.2799158301033143e-06
0.0028522,1.8489925248848254e-06
0.0028524,1.7835871543491884e-06
0.0028526,6.913536287296837e-07
0.0028528,-4.899344647028529e-07
0.002853,1.8770133936162357e-06
0.0028532,1.2738125669321482e-06
0.0028534,1.0413037391383639e-06
0.0028536,1.5939569079158886e-06
0.0028538,1.1751030791781738e-06
0.002854,2.005154072194904e-07
0.0028542,7.992661110257935e-07
0.0028544,4.284879200867866e-07
0.0028546,7.315297903441022e-07
0.0028548,1.5528597745689111e-06
0.002855,2.30797578514434e-06
0.0028552,1.0914837112899203e-06
0.0028554,7.753546125557405e-07
0.0028556,1.4906812208895265e-06
0.0028558,4.3479980043738893e-07
0.002856,5.922877889427426e-07
0.0028562,1.5747660175481229e-06
0.0028564,6.59713284839351e-07
0.0028566,1.7540110106278915e-06
0.0028568,1.8692082075256954e-06
0.002857,1.2886654392914707e-06
0.0028572,1.357699410974397e-06
0.0028574,8.700714341165256e-07
0.0028576,4.625496519386506e-07
0.0028578,3.0316461401776533e-07
0.002858,1.5446047870377621e-06
0.0028582,1.6857855399019308e-06
0.0028584,7.071618406577743e-07
0.0028586,1.0774121873410342e-06
0.0028588,-3.835288364604974e-07
0.002859,-9.71934773035324e-08
0.0028592,4.1534734726964143e-07
0.0028594,1.9858351879630023e-06
0.0028596,5.484176598656379e-07
0.0028598,1.966206730081146e-06
0.00286,1.488708589272058e-06
0.0028602,9.269928334828247e-07
0.0028604,7.351456894778781e-07
0.0028606,-3.0708801050844345e-07
0.0028608,4.5322887517551283e-07
0.002861,6.523401024630357e-07
0.0028612,7.465068014213909e-07
0.0028614,8.124815182271943e-07
0.0028616,1.1788470526577595e-06
0.0028618,1.4199093629262488e-06
0.002862,-1.139193178251562e-07
0.0028622,5.462063262312987e-07
0.0028624,1.0849763478521565e-06
0.0028626,1.451383278425559e-06
0.0028628,2.432428198176887e-06
0.002863,2.3317059286524605e-06
0.0028632,1.4610485874915568e-06
0.0028634,3.80972799504565e-09
0.0028636,7.011156111239456e-07
0.0028638,1.1777626658567401e-06
0.002864,1.983548122673083e-06
0.0028642,1.5883321068831463e-06
0.0028644,7.6605119550931e-07
0.0028646,1.8110994804694182e-06
0.0028648,1.147060509139113e-06
0.002865,9.93165045978283e-07
0.0028652,1.285211776908893e-06
0.0028654,7.963611247459538e-07
0.0028656,1.2287847604044461e-06
0.0028658,2.589061921621027e-06
0.002866,5.521193219208339e-07
0.0028662,1.143540983652565e-06
0.0028664,-5.282235673468487e-07
0.0028666,-3.8615565312709557e-07
0.0028668,5.835546199536276e-08
0.002867,1.3831548936494751e-06
0.0028672,1.735213763774322e-06
0.0028674,1.3710720868156877e-06
0.0028676,2.0967318359788797e-06
0.0028678,6.105560459735776e-07
0.002868,2.3764782882286807e-07
0.0028682,-1.292234221174808e-07
0.0028684,1.9436360243720572e-06
0.0028686,1.1666963340484817e-06
0.0028688,3.0644446993791725e-07
0.002869,3.2040717830786718e-06
0.0028692,7.763189018235537e-07
0.0028694,9.054381744611265e-07
0.0028696,-5.0589671229586e-07
0.0028698,-3.892050489866854e-07
0.00287,3.4939596195181193e-07
0.0028702,1.6322655485610016e-06
0.0028704,1.8926694485948537e-06
0.0028706,1.7708824022456598e-06
0.0028708,8.326287904471889e-07
0.002871,1.4585129917966263e-06
0.0028712,1.8337379047783235e-07
0.0028714,2.1783220954791243e-07
0.0028716,1.6353259739549673e-06
0.0028718,9.508950616315447e-07
0.002872,1.8113522815648786e-06
0.0028722,1.5637077312309045e-06
0.0028724,1.929411760136961e-06
0.0028726,7.052221659910105e-07
0.0028728,2.527082625819877e-08
0.002873,3.5670112109592834e-07
0.0028732,9.150295511001333e-07
0.0028734,1.5051873029734752e-06
0.0028736,1.6288098547223208e-06
0.0028738,5.429606410942442e-07
0.002874,9.674454782623552e-07
0.0028742,8.84718913561776e-07
0.0028744,9.552541657783175e-07
0.0028746,1.4325184908258222e-06
0.0028748,1.3543923245240764e-06
0.002875,6.56951674546554e-07
0.0028752,1.6383245040337125e-06
0.0028754,8.998712725987062e-07
0.0028756,9.314848208439555e-07
0.0028758,-1.1608226491848004e-06
0.002876,-4.487288793489856e-07
0.0028762,1.1655410184083466e-06
0.0028764,1.6367808553927512e-06
0.0028766,2.3089299386081222e-06
0.0028768,2.775810146938747e-06
0.002877,1.1715183836036495e-06
0.0028772,4.0276407810613483e-07
0.0028774,2.6873096707583773e-07
0.0028776,-3.0626282975684044e-07
0.0028778,6.288526836199592e-07
0.002878,1.1430164208845368e-06
0.0028782,2.224507563668994e-06
0.0028784,1.3956450997698456e-06
0.0028786,1.9127203935088983e-06
0.0028788,-5.2289713478821126e-08
0.002879,6.483784703609962e-07
0.0028792,4.146659170274546e-07
0.0028794,2.0275790234892696e-06
0.0028796,2.255683932173994e-06
0.0028798,1.4680983596312357e-06
0.00288,9.960693397420616e-07
0.0028802,1.35820769466084e-06
0.0028804,5.590389821782105e-07
