y_field,Ic
-0.001515,1.1182625165923726e-05
-0.0015148000000000002,1.1406899193410881e-05
-0.0015146,1.1641153623156445e-05
-0.0015144000000000002,1.4749678984017797e-05
-0.0015142,1.628873450217363e-05
-0.0015140000000000002,1.5657517740079632e-05
-0.0015138,1.1712826610238509e-05
-0.0015136000000000001,1.3871953858268745e-05
-0.0015134,1.2976373468374293e-05
-0.0015132000000000001,1.3040172886532609e-05
-0.001513,1.1777032188861722e-05
-0.0015128000000000001,1.502661375364712e-05
-0.0015126,1.1545632978958557e-05
-0.0015124000000000001,1.14681268009205e-05
-0.0015122,1.0250325715395144e-05
-0.001512,1.0213751038787315e-05
-0.0015118,1.651296604179562e-05
-0.0015116,9.25000280179205e-06
-0.0015114,1.3213756871871753e-05
-0.0015112,1.4436133041613383e-05
-0.001511,1.267523341893447e-05
-0.0015108,1.3739083615150001e-05
-0.0015106,1.1533665413965967e-05
-0.0015104,1.3263345369528198e-05
-0.0015102,1.2930665601774312e-05
-0.00151,9.272736265070631e-06
-0.0015098000000000002,1.1495862432684533e-05
-0.0015096,1.3084207546361206e-05
-0.0015094000000000002,1.1992651281913907e-05
-0.0015092,1.3306363051894967e-05
-0.0015090000000000001,1.3375563777610129e-05
-0.0015088,1.3630267811433584e-05
-0.0015086000000000001,1.2658152183501074e-05
-0.0015084,1.4307765749851674e-05
-0.0015082000000000001,1.4393734034472686e-05
-0.001508,1.4880589199858953e-05
-0.0015078000000000001,1.2470328521744242e-05
-0.0015076,1.0866933917036432e-05
-0.0015074,1.637177181276803e-05
-0.0015072,1.3773483117324342e-05
-0.001507,1.621297428388645e-05
-0.0015068,1.3880475636752822e-05
-0.0015066,1.2618864368709232e-05
-0.0015064,1.1926933473923278e-05
-0.0015062,1.3520319151714716e-05
-0.001506,1.3935698407250636e-05
-0.0015058,1.2055103897937399e-05
-0.0015056,1.1686416175784338e-05
-0.0015054,1.2928648737495795e-05
-0.0015052,1.1922757962837865e-05
-0.001505,1.2156232985236666e-05
-0.0015048000000000001,1.362921889031337e-05
-0.0015046,9.905525851850732e-06
-0.0015044000000000001,1.0392437425979512e-05
-0.0015042,1.5496516048189338e-05
-0.0015040000000000001,1.688230089251491e-05
-0.0015038,1.6899331318372526e-05
-0.0015036000000000001,9.718312970789436e-06
-0.0015034,1.246676916954294e-05
-0.0015032000000000001,1.1026863058294676e-05
-0.001503,1.2481795242693192e-05
-0.0015028,1.3780133105774805e-05
-0.0015026,1.2528171805646594e-05
-0.0015024,1.3871065426300253e-05
-0.0015022,1.601159403801361e-05
-0.001502,1.5083350975947462e-05
-0.0015018,1.4408725595295853e-05
-0.0015016,1.277088658862826e-05
-0.0015014,8.803938052884075e-06
-0.0015012,1.3757402791312364e-05
-0.001501,1.3851000242769795e-05
-0.0015008,1.1386202361420038e-05
-0.0015006,1.2070730616292553e-05
-0.0015004,1.2635662855643092e-05
-0.0015002,1.852041762398242e-05
-0.0015,1.2275285921577887e-05
-0.0014998000000000001,1.453197246777918e-05
-0.0014996,1.3675568522884822e-05
-0.0014994000000000001,1.3028332319833701e-05
-0.0014992,1.1125229506105599e-05
-0.0014990000000000001,1.1372439173836345e-05
-0.0014988,1.401285656461388e-05
-0.0014986,1.4572375978534171e-05
-0.0014984,1.4877335806567095e-05
-0.0014982,1.4535960995268922e-05
