phi_ext,I_theory,I_noisy,errors
-0.0002,5.728703618267066e-05,5.715997439124333e-05,2e-07
-0.0001995991983967936,5.7401383161060864e-05,5.736931173401027e-05,2e-07
-0.00019919839679358718,5.752008525524026e-05,5.740075381327131e-05,2e-07
-0.00019879759519038077,5.7642260154230516e-05,5.753535843912857e-05,2e-07
-0.00019839679358717437,5.7767059606395494e-05,5.7802420855583944e-05,2e-07
-0.00019799599198396794,5.7893659112214836e-05,5.792703838174857e-05,2e-07
-0.00019759519038076154,5.802124949047323e-05,5.809196702748972e-05,2e-07
-0.0001971943887775551,5.8149029659179716e-05,5.830598471105842e-05,2e-07
-0.0001967935871743487,5.827620006090606e-05,5.8865323052402123e-05,2e-07
-0.0001963927855711423,5.840195620960151e-05,5.876006182864542e-05,2e-07
-0.00019599198396793587,5.8525481844899436e-05,5.8364500842074294e-05,2e-07
-0.00019559118236472947,5.8645941151010815e-05,5.83949316677624e-05,2e-07
-0.00019519038076152307,5.876246942885756e-05,5.874796789367589e-05,2e-07
-0.00019478957915831664,5.887416149856981e-05,5.888397245959502e-05,2e-07
-0.00019438877755511023,5.8980056950748955e-05,5.8978029130529474e-05,2e-07
-0.00019398797595190383,5.907912115696261e-05,5.891401380404937e-05,2e-07
-0.0001935871743486974,5.917022069934953e-05,5.8974236488407024e-05,2e-07
-0.000193186372745491,5.925209161466614e-05,5.9286880363920836e-05,2e-07
-0.00019278557114228457,5.9323298648228564e-05,5.8991684638004714e-05,2e-07
-0.00019238476953907816,5.938218376189886e-05,5.918647827503705e-05,2e-07
-0.00019198396793587176,5.942680283102355e-05,5.945029650797854e-05,2e-07
-0.00019158316633266533,5.945485158701974e-05,5.939890539993591e-05,2e-07
-0.00019118236472945893,5.946358689552175e-05,5.954607608428063e-05,2e-07
-0.00019078156312625253,5.944975994800208e-05,5.917881465346754e-05,2e-07
-0.0001903807615230461,5.9409597643856414e-05,5.931617391366876e-05,2e-07
-0.0001899799599198397,5.933890120456462e-05,5.934647973265554e-05,2e-07
-0.00018957915831663326,5.923337586389938e-05,5.912669218638314e-05,2e-07
-0.00018917835671342686,5.9089343347611216e-05,5.913877067571319e-05,2e-07
-0.00018877755511022046,5.8904961390345856e-05,5.877863889173473e-05,2e-07
-0.00018837675350701403,5.868187755661874e-05,5.852925672106516e-05,2e-07
-0.00018797595190380762,5.842680930672875e-05,5.840018931896477e-05,2e-07
-0.00018757515030060122,5.815205951925855e-05,5.8194600506283736e-05,2e-07
-0.0001871743486973948,5.787403240805405e-05,5.8124784559686824e-05,2e-07
-0.0001867735470941884,5.760986570526548e-05,5.755583895680331e-05,2e-07
-0.00018637274549098196,5.7373693973042214e-05,5.7344306947628676e-05,2e-07
-0.00018597194388777556,5.717436211747974e-05,5.6897798112544885e-05,2e-07
-0.00018557114228456915,5.701526581829439e-05,5.7202716390824536e-05,2e-07
-0.00018517034068136272,5.68956648457538e-05,5.7010329781109096e-05,2e-07
-0.00018476953907815632,5.6812398151024355e-05,5.656007638983147e-05,2e-07
-0.00018436873747494992,5.676129312603158e-05,5.6236575059265324e-05,2e-07
-0.0001839679358717435,5.673805931428882e-05,5.682745455276718e-05,2e-07
-0.00018356713426853708,5.6738743003529055e-05,5.6419986506714306e-05,2e-07
-0.00018316633266533068,5.675989659174831e-05,5.646260076111254e-05,2e-07
-0.00018276553106212425,5.67985936228599e-05,5.705796985511622e-05,2e-07
-0.00018236472945891785,5.685237435361654e-05,5.678092195146348e-05,2e-07
-0.00018196392785571142,5.691916874429184e-05,5.681069493791076e-05,2e-07
-0.00018156312625250502,5.6997219527952365e-05,5.702081227757368e-05,2e-07
-0.0001811623246492986,5.708501456460604e-05,5.720438286759267e-05,2e-07
-0.00018076152304609218,5.7181230973540993e-05,5.755430859443098e-05,2e-07
-0.00018036072144288578,5.7284690546062744e-05,5.717359634716837e-05,2e-07
-0.00017995991983967938,5.739432483534852e-05,5.713896165732447e-05,2e-07
-0.00017955911823647295,5.75091480929251e-05,5.801050541571313e-05,2e-07
-0.00017915831663326654,5.7628236357784505e-05,5.7961476210978504e-05,2e-07
-0.00017875751503006014,5.775071125771927e-05,5.7879274313032114e-05,2e-07
-0.0001783567134268537,5.787572734352538e-05,5.7729853170071045e-05,2e-07
-0.0001779559118236473,5.800246200218764e-05,5.7766575397473024e-05,2e-07
-0.00017755511022044088,5.8130107172387766e-05,5.809924637062199e-05,2e-07
-0.00017715430861723447,5.8257862214438276e-05,5.8306706822614985e-05,2e-07
-0.00017675350701402807,5.8384927370855146e-05,5.834226309624101e-05,2e-07
-0.00017635270541082164,5.8510497297231424e-05,5.8630553627710834e-05,2e-07
-0.00017595190380761524,5.8633754148241664e-05,5.880141124127643e-05,2e-07
-0.00017555110220440884,5.875385967086088e-05,5.847105178686029e-05,2e-07
-0.0001751503006012024,5.8869945684299636e-05,5.8665511363288595e-05,2e-07
-0.000174749498997996,5.8981102210094714e-05,5.9047209824723676e-05,2e-07
-0.0001743486973947896,5.90863623521727e-05,5.902350688827043e-05,2e-07
-0.00017394789579158317,5.9184682813967505e-05,5.910184169303118e-05,2e-07
-0.00017354709418837677,5.927491868587338e-05,5.933582009038698e-05,2e-07
-0.00017314629258517034,5.935579087349113e-05,5.941020755873643e-05,2e-07
-0.00017274549098196393,5.9425844351424784e-05,5.971307304773606e-05,2e-07
-0.00017234468937875753,5.948339551781872e-05,5.9121982241557166e-05,2e-07
-0.0001719438877755511,5.952646771449872e-05,5.985523218572302e-05,2e-07
-0.0001715430861723447,5.955271630929841e-05,5.967130029700266e-05,2e-07
-0.00017114228456913827,5.955935018084574e-05,5.976029567545906e-05,2e-07
-0.00017074148296593187,5.9543067668636e-05,5.978382945133616e-05,2e-07
-0.00017034068136272546,5.950004590568992e-05,5.918883570823613e-05,2e-07
-0.00016993987975951906,5.942605662532509e-05,5.94666069032948e-05,2e-07
