Phi_ext,I_theory,I_noisy,errors
-0.0002,5.728703618267066e-05,5.7476607715701916e-05,2e-07
-0.0001995991983967936,5.7401383161060864e-05,5.749707715410606e-05,2e-07
-0.00019919839679358718,5.752008525524026e-05,5.7679038771624496e-05,2e-07
-0.00019879759519038077,5.7642260154230516e-05,5.766900948599312e-05,2e-07
-0.00019839679358717437,5.7767059606395494e-05,5.744656777247422e-05,2e-07
-0.00019799599198396794,5.7893659112214836e-05,5.7864036078208374e-05,2e-07
-0.00019759519038076154,5.802124949047323e-05,5.7910929987513884e-05,2e-07
-0.0001971943887775551,5.8149029659179716e-05,5.854908703185277e-05,2e-07
-0.0001967935871743487,5.827620006090606e-05,5.826048333129573e-05,2e-07
-0.0001963927855711423,5.840195620960151e-05,5.902368929562399e-05,2e-07
-0.00019599198396793587,5.8525481844899436e-05,5.8608457953475426e-05,2e-07
-0.00019559118236472947,5.8645941151010815e-05,5.8209317719630056e-05,2e-07
-0.00019519038076152307,5.876246942885756e-05,5.898504132947329e-05,2e-07
-0.00019478957915831664,5.887416149856981e-05,5.874043338364906e-05,2e-07
-0.00019438877755511023,5.8980056950748955e-05,5.8930803614493275e-05,2e-07
-0.00019398797595190383,5.907912115696261e-05,5.928865692523953e-05,2e-07
-0.0001935871743486974,5.917022069934953e-05,5.9188348912766805e-05,2e-07
-0.000193186372745491,5.925209161466614e-05,5.920648981921883e-05,2e-07
-0.00019278557114228457,5.9323298648228564e-05,5.931712520050337e-05,2e-07
-0.00019238476953907816,5.938218376189886e-05,5.896514447127961e-05,2e-07
-0.00019198396793587176,5.942680283102355e-05,5.9418064983445544e-05,2e-07
-0.00019158316633266533,5.945485158701974e-05,5.954364662333709e-05,2e-07
-0.00019118236472945893,5.946358689552175e-05,5.930535229046534e-05,2e-07
-0.00019078156312625253,5.944975994800208e-05,5.895319190487841e-05,2e-07
-0.0001903807615230461,5.9409597643856414e-05,5.931155297601857e-05,2e-07
-0.0001899799599198397,5.933890120456462e-05,5.927397054750488e-05,2e-07
-0.00018957915831663326,5.923337586389938e-05,5.923108899939657e-05,2e-07
-0.00018917835671342686,5.9089343347611216e-05,5.872012185975564e-05,2e-07
-0.00018877755511022046,5.8904961390345856e-05,5.886561480518124e-05,2e-07
-0.00018837675350701403,5.868187755661874e-05,5.8799477055432264e-05,2e-07
-0.00018797595190380762,5.842680930672875e-05,5.8544004202058834e-05,2e-07
-0.00018757515030060122,5.815205951925855e-05,5.819056556864574e-05,2e-07
-0.0001871743486973948,5.787403240805405e-05,5.779616150699367e-05,2e-07
-0.0001867735470941884,5.760986570526548e-05,5.774725792401818e-05,2e-07
-0.00018637274549098196,5.7373693973042214e-05,5.6887684834462176e-05,2e-07
-0.00018597194388777556,5.717436211747974e-05,5.7493864130490464e-05,2e-07
-0.00018557114228456915,5.701526581829439e-05,5.730422535992538e-05,2e-07
-0.00018517034068136272,5.68956648457538e-05,5.719525249674338e-05,2e-07
-0.00018476953907815632,5.6812398151024355e-05,5.6780718715209216e-05,2e-07
-0.00018436873747494992,5.676129312603158e-05,5.6627871313112486e-05,2e-07
-0.0001839679358717435,5.673805931428882e-05,5.67087615125139e-05,2e-07
-0.00018356713426853708,5.6738743003529055e-05,5.659631553594314e-05,2e-07
-0.00018316633266533068,5.675989659174831e-05,5.6669582446394245e-05,2e-07
-0.00018276553106212425,5.67985936228599e-05,5.693120826260765e-05,2e-07
-0.00018236472945891785,5.685237435361654e-05,5.690837633836734e-05,2e-07
-0.00018196392785571142,5.691916874429184e-05,5.691434225195812e-05,2e-07
-0.00018156312625250502,5.6997219527952365e-05,5.7059714896955426e-05,2e-07
-0.0001811623246492986,5.708501456460604e-05,5.727197701710122e-05,2e-07
-0.00018076152304609218,5.7181230973540993e-05,5.718434133946303e-05,2e-07
-0.00018036072144288578,5.7284690546062744e-05,5.7524950377072314e-05,2e-07
-0.00017995991983967938,5.739432483534852e-05,5.7266683398703875e-05,2e-07
-0.00017955911823647295,5.75091480929251e-05,5.722144122391251e-05,2e-07
-0.00017915831663326654,5.7628236357784505e-05,5.7302907437836896e-05,2e-07
-0.00017875751503006014,5.775071125771927e-05,5.7878539785376936e-05,2e-07
-0.0001783567134268537,5.787572734352538e-05,5.745532292446624e-05,2e-07
-0.0001779559118236473,5.800246200218764e-05,5.800773569076509e-05,2e-07
-0.00017755511022044088,5.8130107172387766e-05,5.811631252261045e-05,2e-07
