phi_ext,I_theory,I_noisy,errors
-0.0002,5.733249321881299e-05,5.7224079796787186e-05,2e-07
-0.0001995991983967936,5.7428817400660565e-05,5.784075199989023e-05,2e-07
-0.00019919839679358718,5.7534843067353486e-05,5.7609815414503385e-05,2e-07
-0.00019879759519038077,5.764892191828702e-05,5.761875234910054e-05,2e-07
-0.00019839679358717437,5.7769278140410025e-05,5.7671629856034385e-05,2e-07
-0.00019799599198396794,5.789403652607045e-05,5.7776950639371235e-05,2e-07
-0.00019759519038076154,5.8021252164649126e-05,5.809515435033102e-05,2e-07
-0.0001971943887775551,5.8148941237859835e-05,5.8151850443552257e-05,2e-07
-0.0001967935871743487,5.827511243110291e-05,5.826135987229791e-05,2e-07
-0.0001963927855711423,5.839779846351378e-05,5.823635988288146e-05,2e-07
-0.00019599198396793587,5.851508723746877e-05,5.866721665421748e-05,2e-07
-0.00019559118236472947,5.862515211432679e-05,5.865911083105585e-05,2e-07
-0.00019519038076152307,5.87262808370363e-05,5.860469044521348e-05,2e-07
-0.00019478957915831664,5.8816902641646385e-05,5.873388894310656e-05,2e-07
-0.00019438877755511023,5.8895613128446625e-05,5.865040804935475e-05,2e-07
-0.00019398797595190383,5.8961196498932455e-05,5.9105842818307696e-05,2e-07
-0.0001935871743486974,5.9012644806496734e-05,5.886268068504056e-05,2e-07
-0.000193186372745491,5.904917391604165e-05,5.884693620353584e-05,2e-07
-0.00019278557114228457,5.9070235919805645e-05,5.942471236254724e-05,2e-07
-0.00019238476953907816,5.907552781281783e-05,5.9383789830253186e-05,2e-07
-0.00019198396793587176,5.906499629061337e-05,5.9219735783992595e-05,2e-07
-0.00019158316633266533,5.9038838593245354e-05,5.877794655911189e-05,2e-07
-0.00019118236472945893,5.899749938222786e-05,5.878795332563895e-05,2e-07
-0.00019078156312625253,5.894166369986105e-05,5.9148175263889275e-05,2e-07
-0.0001903807615230461,5.887224612241711e-05,5.877929129422093e-05,2e-07
-0.0001899799599198397,5.879037627893669e-05,5.8846491884733315e-05,2e-07
-0.00018957915831663326,5.8697380964923674e-05,5.83164109739993e-05,2e-07
-0.00018917835671342686,5.859476313414951e-05,5.860878931153531e-05,2e-07
-0.00018877755511022046,5.8484178101205304e-05,5.845397636489888e-05,2e-07
-0.00018837675350701403,5.836740733160348e-05,5.8534653267235864e-05,2e-07
-0.00018797595190380762,5.8246330234436555e-05,5.839090873194272e-05,2e-07
-0.00018757515030060122,5.81228944042145e-05,5.789689847213602e-05,2e-07
-0.0001871743486973948,5.7999084783071004e-05,5.783438172078241e-05,2e-07
-0.0001867735470941884,5.787689223161298e-05,5.795841671934438e-05,2e-07
-0.00018637274549098196,5.7758282006062645e-05,5.775514646081529e-05,2e-07
-0.00018597194388777556,5.7645162640809425e-05,5.7492121036173825e-05,2e-07
-0.00018557114228456915,5.753935572908561e-05,5.785557091880795e-05,2e-07
-0.00018517034068136272,5.7442567080249685e-05,5.760805322086369e-05,2e-07
-0.00018476953907815632,5.735635971036321e-05,5.718395998039548e-05,2e-07
-0.00018436873747494992,5.728212909373456e-05,5.727720728270739e-05,2e-07
-0.0001839679358717435,5.7221081067272734e-05,5.7295163818846264e-05,2e-07
-0.00018356713426853708,5.717421273752593e-05,5.662809397976154e-05,2e-07
-0.00018316633266533068,5.714229669270985e-05,5.6682791529138407e-05,2e-07
-0.00018276553106212425,5.712586876971042e-05,5.7122154929112053e-05,2e-07
-0.00018236472945891785,5.7125219569758696e-05,5.701152151099712e-05,2e-07
-0.00018196392785571142,5.7140389857112134e-05,5.708706500974378e-05,2e-07
-0.00018156312625250502,5.7171169913602237e-05,5.705039230282295e-05,2e-07
-0.0001811623246492986,5.721710285926761e-05,5.67097759372676e-05,2e-07
-0.00018076152304609218,5.727749188649279e-05,5.773402059246219e-05,2e-07
-0.00018036072144288578,5.735141129311122e-05,5.725492668033767e-05,2e-07
-0.00017995991983967938,5.74377211397751e-05,5.739327697926808e-05,2e-07
-0.00017955911823647295,5.753508529951055e-05,5.7631805124143696e-05,2e-07
-0.00017915831663326654,5.7641992613667496e-05,5.7752271514038797e-05,2e-07
-0.00017875751503006014,5.775678081928011e-05,5.759288223862449e-05,2e-07
-0.0001783567134268537,5.7877662868984015e-05,5.772797558457436e-05,2e-07
-0.0001779559118236473,5.8002755226741386e-05,5.825257641704032e-05,2e-07
-0.00017755511022044088,5.813010769134677e-05,5.819968613758883e-05,2e-07
-0.00017715430861723447,5.825773427549728e-05,5.837918586749423e-05,2e-07
-0.00017675350701402807,5.8383644651487634e-05,5.848668612543547e-05,2e-07
-0.00017635270541082164,5.850587566563466e-05,5.833341068403107e-05,2e-07
-0.00017595190380761524,5.8622522422432e-05,5.8443411122173275e-05,2e-07
-0.00017555110220440884,5.873176844625725e-05,5.84486194281557e-05,2e-07
-0.0001751503006012024,5.8831914443059726e-05,5.897473032434673e-05,2e-07
-0.000174749498997996,5.8921405206616125e-05,5.8622034764697416e-05,2e-07
